Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
1/22,Monday,21.16,safeway groceries,Housing,Debit,Need
1/23,Tuesday,8.76,Quesadilla at CSM,Food,Debit,Want
1/24,Wednesday,7.99,Breakfast burrito,Food,Debit,Want
1/24,Wednesday,20.00,Gas,Travel,Cash,Need
1/25,Thursday,8.76,Victory Quesadilla,Food,Debit,Want
1/26,Friday,11.99,Sandwich from Piazzas,Food,Debit,Want
1/27,Saturday,9.39,In n Out,Food,Debit,Want
1/29,Monday,11.75,Victory Quesadilla,Food,Debit,Want
1/30,Tuesday,11.75,Victory Quesadilla,Food,Debit,Want
1/31,Wednesday,8.76,Victory Quesadilla,Food,Debit,Want
2/2,Friday,8.76,Victory quesadilla ,Food,Debit,Want
2/2,Friday,30,Gas,Travel,Debit,Need
2/3,Saturday,24.44,Taqueria Guadalajara,Food,Debit,Want
2/3,Saturday,20,Bowling,Entertainment and Recreation,Cash,Want
2/5,Monday,8.76,Victory quesadilla ,Food,Debit,Want
2/5,Monday,100,Odd job,Financial goals and Savings,Cash,Savings
2/6,Tuesday,8.76,Victory quesadilla ,Food,Debit,Want
2/7,Wednesday,10.95,CSM cafeteria,Food,Debit,Want
2/7,Wednesday,11.75,Victory quesadilla ,Food,Debit,Want
